content_id,channel,hook_family,claim_id,published_at,clicks,signups,activations,paid_conversions,revenue_usd,notes
SLSP-20260818-DO-US-01,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-02,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-03,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-04,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-05,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-06,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-07,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-08,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-09,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-10,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-11,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-12,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-13,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-14,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-15,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-16,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-17,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-18,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-19,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
SLSP-20260818-DO-US-20,direct_outreach,your-own-documented-detail,CLAIM-002,,,,,,,
