content_id,channel,hook_family,claim_id,published_at,clicks,signups,activations,paid_conversions,revenue_usd,notes
SLSP-20260818-DO-01,direct_outreach,cost-of-getting-it-wrong,CLAIM-001,,,,,,,
SLSP-20260818-DO-02,direct_outreach,cost-of-getting-it-wrong,CLAIM-001,,,,,,,
SLSP-20260818-DO-03,direct_outreach,cost-of-getting-it-wrong,CLAIM-001,,,,,,,
SLSP-20260818-DO-04,direct_outreach,cost-of-getting-it-wrong,CLAIM-001,,,,,,,
SLSP-20260818-DO-05,direct_outreach,cost-of-getting-it-wrong,CLAIM-001,,,,,,,
SLSP-20260818-DO-06,direct_outreach,cost-of-getting-it-wrong,CLAIM-001,,,,,,,
SLSP-20260818-DO-07,direct_outreach,cost-of-getting-it-wrong,CLAIM-001,,,,,,,
SLSP-20260818-DO-08,direct_outreach,cost-of-getting-it-wrong,CLAIM-001,,,,,,,
SLSP-20260818-DO-09,direct_outreach,cost-of-getting-it-wrong,CLAIM-001,,,,,,,
SLSP-20260818-DO-10,direct_outreach,cost-of-getting-it-wrong,CLAIM-001,,,,,,,
SLSP-20260818-CM-01,community,free-value-no-ask,CLAIM-001,,,,,,,
